Cluster,Biden Votes Weighted,Trump Votes Weighted
0,190599.34716230314,221022.34505394663
1,153870.07006213127,201065.02742350937
2,182264.7959381082,210263.53726142808
3,200510.8039689843,202041.64517768964
4,159842.70812428326,158369.3755941877
5,280600.73353314656,179905.80757884055
6,164954.39997666434,176931.64630020244
7,215695.63376714333,213650.78180862233
8,113268.96408354212,178528.82055371997
9,206892.79737947846,182804.87405424385
10,270117.8993823018,179720.9400904927
11,300960.0517075138,129920.3670548858
12,125295.93251996547,257105.82137702432
13,119417.86239443369,267442.01067120646
